creditoBase,cliente,status,error
01010214106610,,actualizado,
01010202111080,,actualizado,
01010214109770,,actualizado,
01010202113400,,actualizado,
01010214114810,,actualizado,
01010214113540,,actualizado,
01010214112770,,actualizado,
01010214116670,,actualizado,
01010214118080,,actualizado,
01010214115890,,actualizado,
01010214110690,,actualizado,
01010214110460,,actualizado,
01010214116410,,actualizado,
01010214115820,,actualizado,
01010214114530,,actualizado,
01010214116640,,actualizado,
01010214118770,,actualizado,
01010214115130,,actualizado,
01010214117570,,actualizado,
01010214116500,,actualizado,
01010202102450,,actualizado,
01010214118890,,actualizado,
01010214108670,,actualizado,
01010214116760,,actualizado,
01010202107530,,actualizado,
01010202118850,,actualizado,
01010202108660,,actualizado,
01010202115900,,actualizado,
01010214117720,,actualizado,
01010214115400,,actualizado,
01010202102940,,actualizado,
01010214111230,,actualizado,
01010214109630,,actualizado,
01010214112370,,actualizado,
01010214112200,,actualizado,
01010202118910,,actualizado,
01010214118860,,actualizado,
01010214118750,,actualizado,
01010214108710,,actualizado,
01010214108700,,actualizado,
01010202115090,,actualizado,
01010202115080,,actualizado,
01010214104910,,actualizado,
01010214106660,,actualizado,
01010214108270,,actualizado,
01010214104570,,actualizado,
01010214115460,,actualizado,
01010214103370,,actualizado,
01010214108680,,actualizado,
01010214110580,,actualizado,
01010214115160,,actualizado,
01010214115190,,actualizado,
01010214117160,,actualizado,
01010214112700,,actualizado,
01010214105470,,actualizado,
01010214114780,,actualizado,
01010214109590,,actualizado,
01010214110540,,actualizado,
01010214118840,,actualizado,
01010214109450,,actualizado,
01010214109230,,actualizado,
01010214116190,,actualizado,
01010214111820,,actualizado,
01010214110370,,actualizado,
01010407301710,,actualizado,
01010214115350,,actualizado,
01010214107640,,actualizado,
01010202101800,,actualizado,
01010214115770,,actualizado,
01010214108690,,actualizado,
01010214106750,,actualizado,
01010214108790,,actualizado,
01010214114040,,actualizado,
01010214118410,,actualizado,
01010214105260,,actualizado,
01010214104850,,actualizado,
01010214106020,,actualizado,
01010214108050,,actualizado,
01010214104860,,actualizado,
01010214113140,,actualizado,
01010214105010,,actualizado,
01010202105710,,actualizado,
01010214117560,,actualizado,
01010202105740,,actualizado,
01010214110550,,actualizado,
01010214113640,,actualizado,
01010214104430,,actualizado,
01010214110980,,actualizado,
01010214110620,,actualizado,
01010214104440,,actualizado,
01010214116020,,actualizado,
01010214111340,,actualizado,
01010214108170,,actualizado,
01010214117180,,actualizado,
01010214106800,,actualizado,
01010214109100,,actualizado,
01010214108100,,actualizado,
01010214109010,,actualizado,
01010214117690,,actualizado,
01010214104040,,actualizado,
01010214109200,,actualizado,
01010214103610,,actualizado,
01010214117200,,actualizado,
01010214111590,,actualizado,
01010214116230,,actualizado,
01010214112660,,actualizado,
01010214106940,,actualizado,
01010214104750,,actualizado,
01010214111480,,actualizado,
01010214117580,,actualizado,
01010214106360,,actualizado,
01010202102690,,actualizado,
01010214106420,,actualizado,
01010214118990,,actualizado,
01010214115870,,actualizado,
01010214107600,,actualizado,
01010214118940,,actualizado,
01010214107570,,actualizado,
01010214118970,,actualizado,
01010202108260,,actualizado,
01010214116980,,actualizado,
01010214103840,,actualizado,
01010214108780,,actualizado,
01010202106090,,actualizado,
01010101000990,,actualizado,
01010214105310,,actualizado,
01010214108930,,actualizado,
01010214118920,,actualizado,
01010214119000,,actualizado,
01010214113800,,actualizado,
01010214108880,,actualizado,
01010214104090,,actualizado,
01010214106920,,actualizado,
01010214119040,,actualizado,
01010214113480,,actualizado,
01010214116130,,actualizado,
01010214104010,,actualizado,
01010214117330,,actualizado,
01010214105220,,actualizado,
01010214119010,,actualizado,
01010214107960,,actualizado,
01010214103850,,actualizado,
01010214112940,,actualizado,
01010202114360,,actualizado,
01010214115530,,actualizado,
01010214103980,,actualizado,
01010214118960,,actualizado,
01010214116350,,actualizado,
01010214107920,,actualizado,
01010214115050,,actualizado,
01010214106990,,actualizado,
01010214113560,,actualizado,
01010214107830,,actualizado,
01010214116080,,actualizado,
01010214105300,,actualizado,
01010214108770,,actualizado,
01010214112860,,actualizado,
01010303200670,,actualizado,
01010214106430,,actualizado,
01010214104540,,actualizado,
01010214119020,,actualizado,
01010214105290,,actualizado,
01010202117600,,actualizado,
01010214107740,,actualizado,
01010214115800,,actualizado,
01010214108300,,actualizado,
01010214104880,,actualizado,
01010214114730,,actualizado,
01010214115750,,actualizado,
01010214117710,,actualizado,
01010214103090,,actualizado,
01010214112410,,actualizado,
01010214112580,,actualizado,
01010214112440,,actualizado,
01010214114020,,actualizado,
01010214110780,,actualizado,
01010202101400,,actualizado,
01010214109690,,actualizado,
01010214113960,,actualizado,
01010214116550,,actualizado,
01010214116840,,actualizado,
01010214117960,,actualizado,
01010214117530,,actualizado,
01010214115020,,actualizado,
01010214112070,,actualizado,
01010214109870,,actualizado,
01010202115450,,actualizado,
01010214114950,,actualizado,
01010214108090,,actualizado,
01010214114940,,actualizado,
01010214117900,,actualizado,
01010214119090,,actualizado,
01010214111930,,actualizado,
01010214107670,,actualizado,
01010214108910,,actualizado,
01010214118030,,actualizado,
01010214105110,,actualizado,
01010214108500,,actualizado,
01010214109310,,actualizado,
01010214108470,,actualizado,
01010214111620,,actualizado,
01010214107690,,actualizado,
01010214105160,,actualizado,
01010214110430,,actualizado,
01010214114770,,actualizado,
01010214111110,,actualizado,
01010214111290,,actualizado,
01010214119100,,actualizado,
01010214119120,,actualizado,
01010214119110,,actualizado,
01010214114920,,actualizado,
01010214104300,,actualizado,
01010214119140,,actualizado,
01010214107260,,actualizado,
01030214130090,,actualizado,
01010214117650,,actualizado,
01010214107440,,actualizado,
01010214111710,,actualizado,
01010214117480,,actualizado,
01010214114560,,actualizado,
01010214119130,,actualizado,
01010214105750,,actualizado,
01010214103670,,actualizado,
01010214118160,,actualizado,
01010214115280,,actualizado,
01010214119030,,actualizado,
01010202109750,,actualizado,
01010214106140,,actualizado,
01010214119070,,actualizado,
01010214119060,,actualizado,
01010214115510,,actualizado,
01010214107540,,actualizado,
01010214110730,,actualizado,
01010214108200,,actualizado,
01010214107820,,actualizado,
01010214107660,,actualizado,
01010202117350,,actualizado,
01010214105820,,actualizado,
01010214104330,,actualizado,
01010214107860,,actualizado,
01010214109020,,actualizado,
01010214117340,,actualizado,
01010214103860,,actualizado,
01010214116530,,actualizado,
01010214114890,,actualizado,
01010214119170,,actualizado,
01010214104240,,actualizado,
01010202117680,,actualizado,
01010214119200,,actualizado,
01010202102560,,actualizado,
01010214107970,,actualizado,
01010214111730,,actualizado,
01010214115040,,actualizado,
01010214105090,,actualizado,
01010214108370,,actualizado,
01010202112790,,actualizado,
01010214108830,,actualizado,
01010214108510,,actualizado,
01010214115850,,actualizado,
01010202108250,,actualizado,
01010202102180,,actualizado,
01010214108490,,actualizado,
01010214114010,,actualizado,
01010214106530,,actualizado,
01010214119180,,actualizado,
01010214118320,,actualizado,
01010214106460,,actualizado,
01010214110160,,actualizado,
01010214112500,,actualizado,
01010214110150,,actualizado,
01010214110130,,actualizado,
01010214106110,,actualizado,
01010214115500,,actualizado,
01010214108810,,actualizado,
01010214115390,,actualizado,
01010214110500,,actualizado,
01010214108620,,actualizado,
01010214111240,,actualizado,
01010214119150,,actualizado,
01010214109170,,actualizado,
01010214111280,,actualizado,
01010214106130,,actualizado,
01010214108410,,actualizado,
01010214107020,,actualizado,
01010214105410,,actualizado,
01010214117400,,actualizado,
01010214106030,,actualizado,
01010214107030,,actualizado,
01010202115000,,actualizado,
01010214116570,,actualizado,
01010214105730,,actualizado,
01010214117030,,actualizado,
01010202107800,,actualizado,
01010214114760,,actualizado,
01010214109830,,actualizado,
01010214110890,,actualizado,
01010202106000,,actualizado,
01010202114630,,actualizado,
01010202117910,,actualizado,
01010214107840,,actualizado,
01010214104890,,actualizado,
01010303200720,,actualizado,
01010214107790,,actualizado,
01010214111530,,actualizado,
01010214107450,,actualizado,
01010214112000,,actualizado,
01010214105180,,actualizado,
01010214104320,,actualizado,
01010214110810,,actualizado,
01010214112550,,actualizado,
01010214116170,,actualizado,
01010214108760,,actualizado,
01010214111660,,actualizado,
01010214108600,,actualizado,
01010214117450,,actualizado,
01010214109900,,actualizado,
01010214106680,,actualizado,
01010214116050,,actualizado,
01010214105690,,actualizado,
01010214115380,,actualizado,
01010202102430,,actualizado,
01010214108210,,actualizado,
01010202102050,,actualizado,
01010214105190,,actualizado,
01010214116970,,actualizado,
01010214112760,,actualizado,
01010214111160,,actualizado,
01010214103700,,actualizado,
01010202108040,,actualizado,
01010214118220,,actualizado,
01010214114840,,actualizado,
01010214106670,,actualizado,
01010214107850,,actualizado,
01010214107200,,actualizado,
01010202102730,,actualizado,
01010214107680,,actualizado,
01030214130110,,actualizado,
01010202107090,,actualizado,
01010214113430,,actualizado,
01010214115960,,actualizado,
01010214109160,,actualizado,
01010214109800,,actualizado,
01010214108420,,actualizado,
01010214109040,,actualizado,
01010202104820,,actualizado,
01010214111090,,actualizado,
01010214116710,,actualizado,
01010214105550,,actualizado,
01010214104000,,actualizado,
01010214116770,,actualizado,
01010214111990,,actualizado,
01010214106510,,actualizado,
01010214117590,,actualizado,
01010214113770,,actualizado,
01010214109740,,actualizado,
01010202117820,,actualizado,
01010214110650,,actualizado,
01010214103950,,actualizado,
01010214106390,,actualizado,
01010214114860,,actualizado,
01010214111220,,actualizado,
01010214109400,,actualizado,
01010214107360,,actualizado,
01010214103920,,actualizado,
01010214107040,,actualizado,
01010214104990,,actualizado,
01010214110070,,actualizado,
01010214109360,,actualizado,
01010214108110,,actualizado,
01010214105330,,actualizado,
01010202101450,,actualizado,
01010214106170,,actualizado,
01010214104810,,actualizado,
01010214109410,,actualizado,
01010214109270,,actualizado,
01010214104530,,actualizado,
01010214108020,,actualizado,
01010202107310,,actualizado,
01010214105520,,actualizado,
01010214117640,,actualizado,
01010214103710,,actualizado,
01010214103680,,actualizado,
01010202107240,,actualizado,
01010202110250,,actualizado,
01010202106620,,actualizado,
01010202109080,,actualizado,
01010214110740,,actualizado,
01010214106400,,actualizado,
01010214114930,,actualizado,
01010202107290,,actualizado,
01010214107550,,actualizado,
01010214105370,,actualizado,
01010214111580,,actualizado,
01010214107410,,actualizado,
01010214110630,,actualizado,
01010214113060,,actualizado,
01010214107180,,actualizado,
01010202117700,,actualizado,
01010202106740,,actualizado,
01010214111920,,actualizado,
01010214105990,,actualizado,
01010214105580,,actualizado,
01010202106500,,actualizado,
01010214117050,,actualizado,
01010202102340,,actualizado,
01010214109280,,actualizado,
01010202104780,,actualizado,
01010214108000,,actualizado,
01010214104070,,actualizado,
01010112000640,,actualizado,
01010202109070,,actualizado,
01010202102350,,actualizado,
01010202104900,,actualizado,
01010214110350,,actualizado,
01010214103290,,actualizado,
01010202105060,,actualizado,
01010214105280,,actualizado,
01010214107190,,actualizado,
01010214105080,,actualizado,
01010202102090,,actualizado,
01010214107130,,actualizado,
01010214108560,,actualizado,
01010214108330,,actualizado,
01010214104110,,actualizado,
01010206101510,,actualizado,
01010214109350,,actualizado,
01010214102910,,actualizado,
01010214114050,,actualizado,
01010202106450,,actualizado,
01010214108630,,actualizado,
01010214107210,,actualizado,
01010214110590,,actualizado,
01010202117810,,actualizado,
01010214104480,,actualizado,
01010101001120,,actualizado,
01010214108290,,actualizado,
01010214108610,,actualizado,
01010214109620,,actualizado,
01010214110080,,actualizado,
01010214103540,,actualizado,
01010214105030,,actualizado,
01010202102070,,actualizado,
01010214111150,,actualizado,
01010214108460,,actualizado,
01010214111360,,actualizado,
01010202106320,,actualizado,
01010202117190,,actualizado,
01010214115120,,actualizado,
